CHR	CHUNK	TSNP	FROM	TO
1	1	13116	10616	1264907
1	2	1265154	1264977	1896931
1	3	1897006	1897006	2500663
1	4	2500893	2500737	3159757
1	5	3159942	3159758	3711816
1	6	3713077	3711905	4399342
1	7	4400286	4399499	4951988
1	8	4952107	4952041	5515526
1	9	5515583	5515583	6090599
1	10	6090724	6090663	6757261
1	11	6757869	6757363	7465712
1	12	7465812	7465728	8136016
1	13	8136823	8136056	8863735
1	14	8864486	8863738	9498288
1	15	9499246	9498296	10249964
1	16	10251082	10250142	10953717
1	17	10953834	10953732	11604796
1	18	11605183	11605028	12216921
1	19	12217140	12217023	12902122
1	20	12902269	12902149	14279006
1	21	14279154	14279007	14875499
1	22	14875595	14875595	15467684
1	23	15467777	15467690	16100024
1	24	16100044	16100044	16792757
1	25	16793220	16792824	17678772
1	26	17680563	17678790	18300391
1	27	18301684	18300443	18909951
1	28	18910518	18910000	19550101
1	29	19551655	19550217	20175670
1	30	20176471	20175694	20866908
1	31	20867106	20867006	21625357
1	32	21626319	21625591	22307973
1	33	22308435	22308036	22944128
1	34	22944453	22944141	23716434
1	35	23716936	23716508	24520919
1	36	24521222	24521126	25261262
1	37	25261386	25261282	25996448
1	38	25999517	25996484	26730169
1	39	26730245	26730172	27634173
1	40	27638783	27634337	28477001
1	41	28478028	28477049	29322043
1	42	29323595	29322147	30208112
1	43	30208449	30208113	30818614
1	44	30818858	30818722	31411092
1	45	31411771	31411297	32093594
1	46	32093636	32093636	32893441
1	47	32896119	32893471	33689409
1	48	33690698	33689451	34408239
1	49	34409205	34408312	35088484
1	50	35089115	35088802	35810550
1	51	35815824	35810797	36652290
1	52	36653540	36652313	37356666
1	53	37357585	37356678	38015477
1	54	38015757	38015492	38762757
1	55	38763007	38762784	39477294
1	56	39477353	39477353	40272093
1	57	40272300	40272180	41007147
1	58	41007403	41007170	41755419
1	59	41755556	41755486	42464201
1	60	42465728	42464317	43215374
1	61	43215930	43215445	43923497
1	62	43924166	43923545	44682084
1	63	44684995	44682181	45453367
1	64	45453602	45453484	46276036
1	65	46276313	46276072	47075340
1	66	47075932	47075425	47800311
